FACILITY NAME,GHGRP ID,REPORTED ADDRESS,LATITUDE,LONGITUDE,CITY NAME,COUNTY NAME,ZIP CODE,PARENT COMPANIES,GHG QUANTITY (METRIC TONS CO2e)
AMERICAN GYPSUM COMPANY,1007404,740 Highway #6,39.66067,-106.939169,GYPSUM,EAGLE,81637,EAGLE MATERIALS INC (100%);,55647
ANHEUSER BUSCH INCORPORATED FORT COLLINS BREWERY,1003352,2351 BUSCH DRIVE,40.619722,-105.006111,FORT COLLINS,LARIMER,80524,ANHEUSER-BUSCH INBEV (100%);,51002
"AQUILA, INC. - AIRPORT INDUSTRIAL SITE",1007510,475 WILLIAM M WHITE BLVD,38.2843,-104.533,PUEBLO,PUEBLO,81001,BLACK HILLS CORP (100%);,0
"AQUILA, INC. - PUEBLO POWER PLANT",1000579,105 S VICTORIA AVE,38.26662,-104.61508,PUEBLO,PUEBLO,81003,BLACK HILLS CORP (100%);,0
Arapahoe,1001460,2601 S PLATTE RIVER DR,39.67,-105.0028,DENVER,Denver,80223,XCEL ENERGY INC (100%);,0
Arapahoe Combustion Turbine Facility,1001360,2601 SOUTH PLATTE RIVER ROAD,39.6692,-105.0018,DENVER,Denver,80223,SOUTHWEST GENERATION OPERATING CO (100%);,58691
Arkansas Loop & Simpson Treating Plants,1001760,,37.0532,-107.7855,DURANGO,La Plata,81303,KINDER MORGAN (49%);SOUTHERN UTE INDIAN TRIBE (51%);,275707
Atmel Corporation,1009792,1150 E. Cheyenne Mountain Boulevard,38.789076,-104.805626,Colorado Springs,EL PASO,80906,ATMEL CORP (100%);,280576
Avago Technologies,1008734,4380 Ziegler Road,40.5236,-105.02021,Fort Collins,LARIMER COUNTY,80525,AVAGO TECHNOLOGIES US INC  (100%);,298566
"BARGATH, INC- HYRUP PROD FACILITY",1002944,,39.369139,-108.06329,PARACHUTE,Garfield,81635,"WILLIAMS PARTNERS, LP (100%);",16342
"BARGATH, INC.- PARACHUTE",1002943,,39.487297,-108.111356,"PARACHUTE, 3.4 MI NW OF",Garfield,81635,"WILLIAMS PARTNERS, LP (100%);",381505
BLACK HILLS ELECTRIC- W.N. CLARK STATION,1005974,550 W US HIGHWAY 50,38.4347,-105.2507,CANON CITY,FREMONT,81212,BLACK HILLS CORP (100%);,0
BOULDER LANDFILL,1006661,1600 SOUTH 66TH STREET,39.95,-105.2,BOULDER,BOULDER,80303,REPUBLIC SERVICES INC (100%);,8557
BOWIE NO. 2 MINE,1007215,43659 Bowie Road,38.93268,-107.54603,PAONIA,DELTA COUNTY,81428,BOWIE RESOURCE PARTNERS LLC (100%);,514703
BROADACRE LANDFILL - FOUNTAIN LANDFILL,1006464,10000 SQUIRREL CREEK RD,38.679516,-104.628161,FOUNTAIN,EL PASO,80817,WASTE CONNECTIONS INC (100%);,59601
Bargath LLC - Crawford Trail CS,1002945,,39.503457,-108.184214,Parachute,Garfield,81635,"WILLIAMS PARTNERS, LP (100%);",28500
Big Hole Compressor Station,1011077,37607 County Road 7,40.768594,-107.763621,Craig,MOFFAT COUNTY,81625,"Sempra REX Holdings, LLC (25%);ROCKIES EXPRESS HOLDINGS LLC (50%);P66REX LLC (25%);",3385
Blue Spruce Energy Center,1000141,1751 N POWHATON RD,39.7436,-104.68,AURORA,Adams,80019,XCEL ENERGY (100%);,266601
Bondad Compressor Station,1001759,,37.0881,-107.8829,DURANGO,La Plata,81301,KINDER MORGAN (49%);SOUTHERN UTE INDIAN TRIBE (51%);,20305
Broad Canyon Landfill,1007618,30120 HH31 Road,38.410408,-108.280136,Naturita,MONTROSE,81422,"T S LANDFILL, INC (100%);",0
Brush Power Projects,1001224,1500 S CLAYTON,40.2415,-103.631,BRUSH,Morgan,80723,ALTAGAS LTD (33%);BEOWULF ENERGY (67%);,22693
CARESTREAM HEALTH INC.,1007717,2000 HOWARD SMITH AVE WEST,40.4584,-104.87399,WINDSOR,WELD COUNTY,80550,CARESTREAM HEALTH INC (100%);,30998
CARGILL MEAT SOLUTIONS CORPORATION,1000357,1505 EAST BURLINGTON AVENUE,40.2469,-103.7756,FORT MORGAN,MORGAN COUNTY,80701,CARGILL INC (100%);,23801
CCI Paradox Upstream - Andy Mesa Gas Plant,1005325,,38.0455,-108.6377,San Miguel County,San Miguel,81422,Patara Oil & Gas LLC  (100%);,0
CCI Paradox Upstream - Hamilton Creek Compressor Station,1008574,,38.1113,-108.4695,San Miguel County,San Miguel,81431,Patara Oil & Gas LLC  (100%);,0
CEMEX CONSTRUCTION MATERIALS SOUTH LLC,1007877,5134 UTE HIGHWAY,40.202236,-105.236697,LYONS,BOULDER,80540,CEMEX INC (100%);,211682
CENTRAL WELD SANITARY LANDFILL,1003798,6037 E 77TH AVE,40.35201,-104.80878,GREELEY,WELD COUNTY,80634,WASTE MANAGEMENT INC (100%);,23479
CF & I STEEL L P/ DBA ROCKY MOUNTAIN STEEL MILLS,1003902,2100 SOUTH FREEWAY,38.232627,-104.607257,PUEBLO,PUEBLO,81004,EVRAZ INC NORTH AMERICA (100%);,302345
"CIG Station 5310 Kim, CO",1001992,90100 Highway 160,37.292224,-103.451177,Kim,LAS ANIMAS,81049,"El Paso Pipeline Partners, L.P. (100%);",0
"CIG Station 5320 Fort Lupton, CO",1010489,15732 Weld County Road 16,40.130922,-104.758947,Ft. Lupton,WELD,80261,KINDER MORGAN INC (100%);,44977
"CIG Station 5560 Kit Carson, CO",1001994,3073 US HIGHWAY 287,38.413345,-102.759485,EADS,KIOWA,81036,KINDER MORGAN INC (100%);,26740
"CIG Station 5610 Greasewood, CO",1008151,5200 County Road 3,39.854648,-108.105434,Rifle,GARFIELD,81650,KINDER MORGAN INC (100%);,31947
"CIG Station 5850 Cheyenne, CO",1002127,65657 Highway 85,40.908951,-104.892167,CARR,WELD,80612,KINDER MORGAN INC (100%);,55735
"CIG Station 5950 Watkins, CO",1002061,24650 East Smith Road,39.745283,-104.698908,AURORA,ADAMS,80019,KINDER MORGAN INC (100%);,43702
COLORADO STATE UNIVERSITY,1004581,6030 Campus Delivery,40.57,-105.09,FORT COLLINS,LARIMER,80523,BOARD OF GOVERNORS OF THE COLORADO STATE UNIVERSITY SYSTEM (100%);,42745
Callahan Compressor Station,1002873,,39.468423,-108.08675,PARACHUTE,Garfield,81635,"WILLIAMS PARTNERS, LP (100%);",26023
Cameo,1001461,4 MI E OF PALISADE ON I 70,39.1486,-108.3189,PALISADE,Mesa,81526,"Xcel Energy, Inc. (100%);",0
Central Treating Facility,1004824,,39.8338,-108.2957,Meeker,Rio Blanco,81641,ENTERPRISE PRODUCTS PARTNERS LP (100%);,91315
Cherokee,1007207,6198 FRANKLIN ST,39.8078,-104.9648,DENVER,Adams,80216,XCEL ENERGY (100%);,3058002
Clough Compressor Station,1003022,,39.51861,-107.889912,RIFLE,Garfield,81650,"WILLIAMS PARTNERS, LP (100%);",24411
Colorado Energy Nations Company LLC (Golden Facility),1003568,1003 Vasquez Street,39.760555,-105.215,GOLDEN,JEFFERSON,80401,GDF SUEZ ENERGY NORTH AMERICA INC (100%);,379088
"Colorado Natural Gas, Inc.",1005703,7810 Shaffer Pkwy Suite 120,39.57476,-105.13261,Littleton,JEFFERSON COUNTY,80127,SUMMIT UTILITIES INC (100%);,123663
Colorado Springs Landfill,1008019,1010 Blaney Road,38.847491,-104.572053,Colorado Springs,EL PASO,80929,WASTE MANAGEMENT INC (100%);,173705
Comanche (470),1001462,2005 LIME RD,38.2081,-104.5747,PUEBLO,Pueblo,81006,HOLY CROSS ELECTRIC ASSOC INC (4.19%);XCEL ENERGY (82.54%);INTERMOUNTAIN RURAL ELEC ASSN (13.27%);,8424077
Compressor Station 601,1002406,37500 County Rd 78,40.994389,-102.855976,Peetz,LOGAN,80747,TALLGRASS OPERATIONS LLC (100%);,56844
Conn Creek Compressor Station,1007414,,39.4819,-108.2479,De Beque,Garfield,81630,OCCIDENTAL PETROLEUM CORP (100%);,32910
Cottonwood Point Compressor Station,1003011,,39.481874,-107.991952,PARACHUTE,Garfield,81635,"WILLIAMS PARTNERS, LP (100%);",30407
Coyote Gulch Treating Plant,1001946,,37.0141,-108.0615,DURANGO,La Plata,81301,SOUTHERN UTE INDIAN TRIBE (51%);KINDER MORGAN (49%);,162810
Craig,1001008,2101 S RANNEY,40.4627,-107.5912,CRAIG,Moffat,81626,PLATTE RIVER POWER AUTHORITY (11.8%);TRI-STATE GENERATION & TRANSMISSION (50.17%);XCEL ENERGY (6.37%);SALT RIVER PROJECT (19.02%);PACIFICORP (12.64%);,8213416
DEBEQUE GAS PROCESSING FACILITY,1011635,,39.3269,-108.2431,De Beque,Mesa,81630,SUMMIT MIDSTREAM PARTNERS LLC (100%);,23540
DENVER ARAPAHOE DISPOSAL SITE-A WASTE MANAGEMENT COMPANY,1007709,3500 SOUTH GUN CLUB ROAD,39.64566,-104.70914,AURORA,ARAPAHOE COUNTY,80018,WASTE MANAGEMENT INC (100%);,53689
DENVER INTERNATIONAL AIRPORT,1004796,8500 PENA BOULEVARD,39.83425,-104.70436,DENVER,DENVER,80249,CITY & COUNTY OF DENVER (100%);,27705
DENVER REGIONAL LANDFILL,1005633,1441 WELD COUNTY ROAD 6,40.024535,-105.027726,ERIE,BOULDER,80516,WASTE CONNECTIONS INC (100%);,242127
Denver Regional North Landfill,1007700,1441 Weld County Rd 6,40.024535,-105.027726,Erie,BOULDER,80516,REPUBLIC SERVICES INC (100%);,2973
EAGLE COUNTY LANDFILL,1005844,815 Ute Creek Road ,39.72233,-106.66336,WOLCOTT,EAGLE,81655,EAGLE COUNTY GOVERNMENT (100%);,49864
ENCANA OIL AND GAS USA - DRAGON TRAIL GAS PLANT - 08-103-00036,1003447,3606 COUNTY ROAD 116,39.859473,-108.915996,RANGELY,RIO BLANCO,81648,ENCANA OIL & GAS (USA) INC (100%);,36114
ENCANA OIL AND GAS USA - FORT LUPTON GAS PLANT,1003421,16157,40.145859,-104.749966,Fort Lupton,WELD,80621,Encana Oil and Gas (USA) Inc. (100%);,0
ENTERPRISE COMPRESSOR STATION,1002666,10002 Weld County Road 59,40.191,-104.4877,LaSalle,WELD,80645,Phillips 66 (50%);SPECTRA ENERGY CORP (50%);,47367
EPNG Station 6210 Bondad,1002116,2227 County Road 318,37.096339,-107.769381,Ignacio,LA PLATA,81137,KINDER MORGAN INC (100%);,44464
Eagle Valley Clean Energy,1011681,10775 HWY 6,39.646803,-106.940343,Gypsum,EAGLE COUNTY,81637,EVERGREEN CLEAN ENERGY CORP (100%);,27
FOOTHILLS LANDFILL,1006758,8900 93 HWY,39.850794,-105.227345,GOLDEN,JEFFERSON,80403,REPUBLIC SERVICES INC (100%);,27993
FORT CARSON USARMY,1007910,"1626 Evans Street, Bldg 1219",38.76408,-104.79509,Fort Carson,EL PASO,80913,US GOVERNMENT (%);,55973
FRONT RANGE ENERGY,1006942,31375 GREAT WESTERN DRIVE,40.455978,-104.857553,WINDSOR,WELD,80550,FRONT RANGE ENERGY LLC (100%);,36282
FRONT RANGE LANDFILL,1003911,1830 WELD COUNTY ROAD 5,40.026864,-105.018265,ERIE,BOULDER,80516,WASTE CONNECTIONS INC (100%);,168471
Florida River Gas Processing Facility,1003223,2906 CR 307,37.15639,-107.77978,Durango,LA PLATA,81303,BP AMERICA INC (100%);,146526
Fort Lupton Compressor Station,1001977,,40.1434,-104.7515,Brighton,Weld,80601,ANADARKO PETROLEUM CORP (100%);,248622
Fort St. Vrain,1001029,16805 WELD CR 19 12,40.2461,-104.8742,PLATTEVILLE,Weld,80651,XCEL ENERGY (100%);,1496872
Fountain Valley Power Plant,1007383,18693 Boca Raton Heights,38.5569,-104.6875,Fountain,El Paso,80817,SOUTHWEST GENERATION OPERATING CO (100%);,184633
Frank Knutson Station,1000061,13501 POWHATEN ROAD,39.9414,-104.6817,COMMERCE CITY,Adams,80022,TRI-STATE GENERATION & TRANSMISSION (100%);,4851
Fredrick Compressor Station,1002206,,40.0573,-104.8852,Brighton,Weld,80601,ANADARKO PETROLEUM CORP (100%);,52200
Front Range Power Plant,1001400,6615 GENERATION DRIVE,38.6281,-104.7069,FOUNTAIN,El Paso,80817,COLORADO SPRINGS UTILITIES (100%);,758910
GCC RIO GRANDE INC,1003067,3372 LIME ROAD,38.1507,-104.62595,PUEBLO,PUEBLO,81004,GCC OF AMERICA (100%);,655224
GREELEY GAS PLANT,1006310,3009 WEST 49TH STREET,40.38812,-104.76003,GREELEY,WELD COUNTY,80634,"DCP MIDSTREAM PARTNERS, LP (50%);SPECTRA ENERGY CORP (25%);Phillips 66 (25%);",40696
GRG - EAST MAMM CREEK CS,1003630,,39.4894897,-107.7232517,"RIFLE, 2.0 MI SE OF",Garfield,81650,SUMMIT MIDSTREAM PARTNERS LLC (100%);,28886
GRG - HIGH MESA CS,1006331,,39.395581,-108.0590714,PARACHUTE,Garfield,81635,SUMMIT MIDSTREAM PARTNERS LLC (100%);,26475
GRG - HUNTER MESA CS,1006001,,39.4686107,-107.7153515,"RIFLE, 3.3 MI SE OF",Garfield,81650,SUMMIT MIDSTREAM PARTNERS LLC (100%);,33020
GRG - MAMM CREEK CS,1006003,,39.4894897,-107.7232517,RIFLE,Garfield,81650,SUMMIT MIDSTREAM PARTNERS LLC (100%);,15198
GRG - PUMBA CS,1006004,,39.4649163,-107.7564733,"RIFLE, 3.6 MI S OF",Garfield,81650,SUMMIT MIDSTREAM PARTNERS LLC (100%);,30801
HOLMES MESA CMP STN,1003252,,39.467984,-107.926867,RULISON,Garfield,81650,SUMMIT MIDSTREAM PARTNERS LLC (100%);,44973
Hambert Compressor Station,1011533,18450 Weld County Road 35,40.2696,-104.724297,Gilcrest,WELD,80623,ANADARKO PETROLEUM CORP (100%);,31186
Hayden,1001466,12795 E YUTE,40.4856,-107.185,HAYDEN,Routt,81639,PACIFICORP (17.46%);XCEL ENERGY (52.95%);SALT RIVER PROJECT (29.59%);,3088889
Hayes Gulch Compressor Station,1003014,,39.466732,-108.051398,PARACHUTE,Garfield,81635,"WILLIAMS PARTNERS, LP (100%);",25845
Heath Compressor Station,1002936,,39.497639,-107.884743,RIFLE,Garfield,81650,"WILLIAMS PARTNERS, LP (100%);",37520
Holcim (US) Inc. - Portland Plant,1003008,3500 Highway 120,38.386936,-105.039244,Florence,FREMONT,81226,HOLCIM (US) INC (100%);,1052030
Hudson Compressor Station,1002062,,40.2235,-104.7196,Brighton,Weld,80601,ANADARKO PETROLEUM CORP (100%);,72094
IGNACIO GAS PLANT,1002532,3746 CR 307,37.144682,-107.784839,DURANGO,LA PLATA,81301,"WILLIAMS PARTNERS, LP (100%);",431640
J.M. Shafer Generating Station,1000559,6811 Weld County Road #31,40.0979,-104.7745,FORT LUPTON,Weld,80621,TRI-STATE GENERATION & TRANSMISSION (100%);,339262
JBS Swift Beef Company - Greeley Plant,1004022,800 North 8th Avenue,40.44278,-104.69233,Greeley,WELD COUNTY,80632,JBS USA LLC (100%);,55183
Jackrabbit Compressor Station,1005036,13064 Garden Gulch Rd.,39.485628,-108.095435,Parachute,GARFIELD,81635,ENTERPRISE PRODUCTS PARTNERS LP (100%);,22232
Jaques CS,1006460,NW SEC 26 T33N R7W,37.095279,-107.71625,Ignacio,LA PLATA,81137,Samson Resources (100%);,0
"KMG Electronic Chemicals,Inc.",1005503,250 William White Boulevard,38.276933,-104.523808,Pueblo,PUEBLO,81001,KMG CHEMICALS INC (100%);,0
Koch Meeker Gas Plant,1010030,929 Penny Dr,39.977742,-107.763621,Meeker,RIO BLANCO COUNTY,81641,KOCH INDUSTRIES INC (100%);,37574
LA PLATA \A\ CMP STN,1005882,3775 COUNTY ROAD 307,37.143579,-107.786771,DURANGO,LA PLATA,81301,ENERGY TRANSFER PARTNERS LP (100%);,34256
LADDER CREEK HELIUM PLANT,1002352,41707 COUNTY ROAD P,39.014999,-102.413156,CHEYENNE WELLS,CHEYENNE,80810,Phillips 66 (50%);SPECTRA ENERGY CORP (50%);,32980
LARIMER COUNTY LANDFILL,1005928,5887 SOUTH TAFT HILL ROAD,40.49803,-105.12032,FORT COLLINS,LARIMER COUNTY,80526,LARIMER COUNTY A POLITICAL SUBDIV OF THE STATE OF COLORADO (25%);CITY OF FORT COLLINS COLORADO (50%);CITY OF LOVELAND COLORADO (25%);,142368
LINDE LLC CORTEZ PLANT,1007715,14207  RD G,37.327457,-109.017397,CORTEZ,MONTEZUMA,81321,LINDE GAS NA LLC (100%);,915
LUCERNE GAS PLANT,1002355,31495 COUNTY ROAD 43,40.457201,-104.664686,GREELEY,WELD,80631,"DCP Midstream Partners, LP (100%);",112196
Lamar,1000188,100 N SECOND ST,38.0921,-102.6148,LAMAR,Prowers,81052,Lamar Light and Power (100%);,0
"Leprino Foods, Greeley",1006479,1302 1 st Avenue,40.416952,-104.675853,Greeley,WELD,80631,LEPRINO FOODS INC (100%);,38254
Limon Generating Station,1000060,48303 STATE ROAD 71,39.2038,-103.7005,LIMON,Lincoln,80828,TRI-STATE GENERATION & TRANSMISSION (100%);,20247
MARLA COMPRESSOR STATION,1006309,,40.2767,-104.5475,KERSEY,Weld,80644,Phillips 66 (50%);SPECTRA ENERGY CORP (50%);,29246
MESA COUNTY LANDFILL,1006977,3071 COLO HWY 50,39.01261,-108.49194,GRAND JUNCTION,MESA,81503,MESA COUNTY (100%);,80103
